,cluster_id,cluster_name,cluster_isactive,store_id,store_code,store_description,store_lat,store_long
0,1,Durbanville (WC),True,1,12,Checkers Durbanville,-33.8305664,18.6487026
1,101,Muizenberg (WC),True,2,36,Checkers Muizenberg,-34.1062431,18.4686451
2,192,Moreleta (G),True,3,52,Checkers Moreleta Park,-25.80781,28.30031
3,30,Paarl (WC),True,4,60,Checkers Paarl,-33.7306,18.9699
4,16,Kempton Park (G),True,5,68,Checkers Norkem Park,-26.0641,28.22001
5,32,Constantia (WC),True,6,110,Checkers Meadowridge,-34.0397377,18.4562569
6,83,Bluff (KZN),True,7,127,Checkers Bluff,-29.9242916,31.0037384
7,20,Port Elizabeth (EC),False,8,133,Checkers Metlife Plaza,-33.94635,25.5093689
8,2,Cape Town CBD (WC),True,9,137,Checkers Kloof Street,-33.9318771,18.4094639
9,29,Plumstead (WC),True,10,139,Checkers Plumstead,-34.0224342,18.4687366
10,8,Somerset (WC),True,11,156,Checkers Somerset West,-34.0865746,18.8546944
11,22,Pietermaritzburg (KZN),True,12,160,Checkers Scottsville,-29.6155853,30.3941612
12,25,Pretoria (G),False,13,177,Checkers Lynnwood,-25.766,28.28
13,20,Port Elizabeth (EC),False,14,181,Checkers 6th Avenue,-33.98,25.597
14,38,Seapoint (WC),True,15,184,Checkers Sea Point,-33.92074,18.3835239
15,50,Overport (KZN),True,16,187,Checkers Overport,-29.83714,30.99954
16,13,Bryanston (G),True,17,194,Checkers Bryanston,-26.075634,28.0282784
17,11,Emmarentia (G),True,18,208,Checkers Emmarentia,-26.16068,28.01185
18,6,Westville (KZN),True,19,217,Checkers Westville,-29.83626,30.9184933
19,3,Rondebosch (WC),True,20,225,Checkers Rondebosch,-33.9622955,18.4703178
20,23,Brackenfell (WC),True,22,270,Checkers Hyper Brackenfell,-33.8841,18.682
21,28,Krugersdorp (G),False,23,610,Checkers Wilrogate,-26.126,27.847
22,71,Northmead Square (G),True,24,611,Checkers Northmead Square,-26.1628857,28.3227081
23,18,Kenilworth (WC),True,25,639,Checkers Kenilworth,-33.9885674,18.48552
24,17,N1City (WC),True,26,650,Checkers Hyper N1 City,-33.89075,18.5617771
25,9,Stellenbosch (WC),True,27,651,Checkers Stellenbosch,-33.93842,18.8592682
26,189,Tokai (WC),True,28,655,Checkers Hyper Tokai,-34.063,18.454
27,10,Centurion (G),True,31,715,Checkers Hyper FX Centurion,-25.8562,28.18216
28,149,Fourways (G),True,32,731,Checkers Hyper FX Fourways,-26.019,28.007
29,67,Cresta (G),True,33,758,Checkers Cresta,-26.1317272,27.97383
30,75,Roodepoort (G),True,34,762,Checkers Hyper Roodepoort,-26.1482182,27.92206
31,112,KemptonParkHyper (G),True,35,765,Checkers Hyper Kempton Park,-26.1045837,28.2229443
32,77,Edenvale (G),True,36,773,Checkers Hyper Edenvale,-26.161726,28.1709118
33,24,Benoni (G),False,37,802,Checkers Benoni Lake,-26.185,28.315
34,29,Plumstead (WC),True,38,3000,Checkers LiquorShop Plumstead,-34.0224342,18.4687366
35,149,Fourways (G),True,39,3016,Checkers LiquorShop Fourways,-26.0190716,28.0059528
36,20,Port Elizabeth (EC),False,40,3020,Checkers LiquorShop Metlife Plaza,-33.94635,25.5093689
37,70,Moreleta Park (G),True,41,3035,Checkers Parkview,-25.8167877,28.30337
38,193,Silver Lakes (G),True,42,3036,Checkers Silver Lakes,-25.77224,28.3543148
39,20,Port Elizabeth (EC),False,44,3056,Checkers Lorraine,-33.96958,25.49359
