,schedule_id,date,shift_number,shift_start_time,shift_end_time,solver_driver_id,shift_type_id,store_id
0,1,2021-11-15,1,08:00:00,2022-07-15 21:00:00,3,141,9
1,1,2021-11-15,1,08:00:00,2022-07-15 21:00:00,4,141,9
2,1,2021-11-15,1,08:00:00,2022-07-15 21:00:00,7,141,9
3,1,2021-11-15,1,08:00:00,2022-07-15 21:00:00,9,141,9
4,1,2021-11-15,1,08:00:00,2022-07-15 21:00:00,12,141,9
5,1,2021-11-15,1,08:00:00,2022-07-15 21:00:00,13,141,9
6,1,2021-11-15,1,08:00:00,2022-07-15 21:00:00,16,141,9
7,1,2021-11-15,1,08:00:00,2022-07-15 21:00:00,18,141,9
8,1,2021-11-15,1,08:00:00,2022-07-15 21:00:00,19,141,9
9,1,2021-11-15,1,08:00:00,2022-07-15 21:00:00,20,141,9
10,1,2021-11-15,1,08:00:00,2022-07-15 21:00:00,21,141,9
11,1,2021-11-15,1,08:00:00,2022-07-15 21:00:00,23,141,9
12,1,2021-11-15,1,08:00:00,2022-07-15 21:00:00,24,141,9
13,1,2021-11-15,1,08:00:00,2022-07-15 21:00:00,27,141,9
14,1,2021-11-15,1,08:00:00,2022-07-15 21:00:00,28,141,9
15,1,2021-11-15,1,08:00:00,2022-07-15 21:00:00,30,141,9
16,1,2021-11-15,1,08:00:00,2022-07-15 21:00:00,31,141,9
17,1,2021-11-15,1,08:00:00,2022-07-15 21:00:00,32,141,9
18,1,2021-11-15,1,08:00:00,2022-07-15 21:00:00,33,141,9
19,1,2021-11-15,1,08:00:00,2022-07-15 21:00:00,35,141,9
20,1,2021-11-15,1,08:00:00,2022-07-15 21:00:00,36,141,9
21,1,2021-11-15,1,08:00:00,2022-07-15 21:00:00,37,141,9
22,1,2021-11-15,1,08:00:00,2022-07-15 21:00:00,38,141,9
23,1,2021-11-15,1,08:00:00,2022-07-15 21:00:00,41,141,9
24,1,2021-11-16,2,08:00:00,2022-07-15 21:00:00,1,141,9
25,1,2021-11-16,2,08:00:00,2022-07-15 21:00:00,2,141,9
26,1,2021-11-16,2,08:00:00,2022-07-15 21:00:00,5,141,9
27,1,2021-11-16,2,08:00:00,2022-07-15 21:00:00,6,141,9
28,1,2021-11-16,2,08:00:00,2022-07-15 21:00:00,7,141,9
29,1,2021-11-16,2,08:00:00,2022-07-15 21:00:00,8,141,9
30,1,2021-11-16,2,08:00:00,2022-07-15 21:00:00,10,141,9
31,1,2021-11-16,2,08:00:00,2022-07-15 21:00:00,12,141,9
32,1,2021-11-16,2,08:00:00,2022-07-15 21:00:00,14,141,9
33,1,2021-11-16,2,08:00:00,2022-07-15 21:00:00,15,141,9
34,1,2021-11-16,2,08:00:00,2022-07-15 21:00:00,17,141,9
35,1,2021-11-16,2,08:00:00,2022-07-15 21:00:00,18,141,9
36,1,2021-11-16,2,08:00:00,2022-07-15 21:00:00,20,141,9
37,1,2021-11-16,2,08:00:00,2022-07-15 21:00:00,22,141,9
38,1,2021-11-16,2,08:00:00,2022-07-15 21:00:00,23,141,9
39,1,2021-11-16,2,08:00:00,2022-07-15 21:00:00,25,141,9
40,1,2021-11-16,2,08:00:00,2022-07-15 21:00:00,27,141,9
41,1,2021-11-16,2,08:00:00,2022-07-15 21:00:00,28,141,9
42,1,2021-11-16,2,08:00:00,2022-07-15 21:00:00,30,141,9
43,1,2021-11-16,2,08:00:00,2022-07-15 21:00:00,32,141,9
44,1,2021-11-16,2,08:00:00,2022-07-15 21:00:00,34,141,9
45,1,2021-11-16,2,08:00:00,2022-07-15 21:00:00,35,141,9
46,1,2021-11-16,2,08:00:00,2022-07-15 21:00:00,40,141,9
